Location,Social Category,year,level,gender,drop out rate
Andaman & Nicobar Islands,General,2014-15,primary,girls,3.81
Andaman & Nicobar Islands,SC,2014-15,primary,girls,0
Andaman & Nicobar Islands,ST,2014-15,primary,girls,0
Andaman & Nicobar Islands,OBC,2014-15,primary,girls,0
Andaman & Nicobar Islands,Overall,2014-15,primary,girls,1.06
Andhra Pradesh,General,2014-15,primary,girls,47.97
Andhra Pradesh,SC,2014-15,primary,girls,44.07
Andhra Pradesh,ST,2014-15,primary,girls,61.04
Andhra Pradesh,OBC,2014-15,primary,girls,46.14
Andhra Pradesh,Overall,2014-15,primary,girls,47.76
Arunachal Pradesh,General,2014-15,primary,girls,9.55
Arunachal Pradesh,SC,2014-15,primary,girls,41.07
Arunachal Pradesh,ST,2014-15,primary,girls,10.26
Arunachal Pradesh,OBC,2014-15,primary,girls,0
Arunachal Pradesh,Overall,2014-15,primary,girls,10.22
Assam,General,2014-15,primary,girls,8.05
Assam,SC,2014-15,primary,girls,4.73
Assam,ST,2014-15,primary,girls,6.33
Assam,OBC,2014-15,primary,girls,4.63
Assam,Overall,2014-15,primary,girls,6.68
Bihar,General,2014-15,primary,girls,0
Bihar,SC,2014-15,primary,girls,3.95
Bihar,ST,2014-15,primary,girls,4.78
Bihar,OBC,2014-15,primary,girls,1.91
Bihar,Overall,2014-15,primary,girls,1.79
Chandigarh,General,2014-15,primary,girls,0
Chandigarh,SC,2014-15,primary,girls,0
Chandigarh,ST,2014-15,primary,girls,0
Chandigarh,OBC,2014-15,primary,girls,0
Chandigarh,Overall,2014-15,primary,girls,0
Chhattisgarh,General,2014-15,primary,girls,0
Chhattisgarh,SC,2014-15,primary,girls,2.66
Chhattisgarh,ST,2014-15,primary,girls,4.21
Chhattisgarh,OBC,2014-15,primary,girls,0
Chhattisgarh,Overall,2014-15,primary,girls,1.39
Dadra & Nagar Haveli,General,2014-15,primary,girls,1.62
Dadra & Nagar Haveli,SC,2014-15,primary,girls,0
Dadra & Nagar Haveli,ST,2014-15,primary,girls,2.4
Dadra & Nagar Haveli,OBC,2014-15,primary,girls,24.32
Dadra & Nagar Haveli,Overall,2014-15,primary,girls,2.17
Daman & Diu,General,2014-15,primary,girls,0
Daman & Diu,SC,2014-15,primary,girls,0
Daman & Diu,ST,2014-15,primary,girls,0
Daman & Diu,OBC,2014-15,primary,girls,2.54
Daman & Diu,Overall,2014-15,primary,girls,0.59
Delhi,General,2014-15,primary,girls,0
Delhi,SC,2014-15,primary,girls,0
Delhi,ST,2014-15,primary,girls,0
Delhi,OBC,2014-15,primary,girls,12.58
Delhi,Overall,2014-15,primary,girls,0
Goa,General,2014-15,primary,girls,2.12
Goa,SC,2014-15,primary,girls,0
Goa,ST,2014-15,primary,girls,0
Goa,OBC,2014-15,primary,girls,0
Goa,Overall,2014-15,primary,girls,0.33
Gujarat,General,2014-15,primary,girls,1.15
Gujarat,SC,2014-15,primary,girls,0.53
Gujarat,ST,2014-15,primary,girls,3.34
Gujarat,OBC,2014-15,primary,girls,0.26
Gujarat,Overall,2014-15,primary,girls,1.07
Haryana,General,2014-15,primary,girls,0.78
Haryana,SC,2014-15,primary,girls,1.03
Haryana,ST,2014-15,primary,girls,0
Haryana,OBC,2014-15,primary,girls,0.18
Haryana,Overall,2014-15,primary,girls,0.63
Himachal Pradesh,General,2014-15,primary,girls,0.35
Himachal Pradesh,SC,2014-15,primary,girls,1.43
Himachal Pradesh,ST,2014-15,primary,girls,0
Himachal Pradesh,OBC,2014-15,primary,girls,0
Himachal Pradesh,Overall,2014-15,primary,girls,0.34
Jammu & Kashmir,General,2014-15,primary,girls,6.29
Jammu & Kashmir,SC,2014-15,primary,girls,3.37
Jammu & Kashmir,ST,2014-15,primary,girls,6.28
Jammu & Kashmir,OBC,2014-15,primary,girls,0
Jammu & Kashmir,Overall,2014-15,primary,girls,5.37
Jharkhand,General,2014-15,primary,girls,6.64
Jharkhand,SC,2014-15,primary,girls,7.35
Jharkhand,ST,2014-15,primary,girls,8.89
Jharkhand,OBC,2014-15,primary,girls,3.3
Jharkhand,Overall,2014-15,primary,girls,5.91
Karnataka,General,2014-15,primary,girls,11.9
Karnataka,SC,2014-15,primary,girls,2.06
Karnataka,ST,2014-15,primary,girls,3.54
Karnataka,OBC,2014-15,primary,girls,0
Karnataka,Overall,2014-15,primary,girls,2.22
Kerala,General,2014-15,primary,girls,0
Kerala,SC,2014-15,primary,girls,0.21
Kerala,ST,2014-15,primary,girls,0
Kerala,OBC,2014-15,primary,girls,0.19
Kerala,Overall,2014-15,primary,girls,0
Lakshadweep,General,2014-15,primary,girls,0
Lakshadweep,SC,2014-15,primary,girls,0
Lakshadweep,ST,2014-15,primary,girls,0
Lakshadweep,OBC,2014-15,primary,girls,0
Lakshadweep,Overall,2014-15,primary,girls,0
Madhya Pradesh,General,2014-15,primary,girls,11.85
Madhya Pradesh,SC,2014-15,primary,girls,10.69
Madhya Pradesh,ST,2014-15,primary,girls,12.13
Madhya Pradesh,OBC,2014-15,primary,girls,8.69
Madhya Pradesh,Overall,2014-15,primary,girls,10.39
Maharashtra,General,2014-15,primary,girls,0.02
Maharashtra,SC,2014-15,primary,girls,0.88
Maharashtra,ST,2014-15,primary,girls,2.82
Maharashtra,OBC,2014-15,primary,girls,0.29
Maharashtra,Overall,2014-15,primary,girls,0.59
Manipur,General,2014-15,primary,girls,17.64
Manipur,SC,2014-15,primary,girls,4.75
Manipur,ST,2014-15,primary,girls,22.41
Manipur,OBC,2014-15,primary,girls,14.87
Manipur,Overall,2014-15,primary,girls,18.75
Meghalaya,General,2014-15,primary,girls,0
Meghalaya,SC,2014-15,primary,girls,4.26
Meghalaya,ST,2014-15,primary,girls,10.05
Meghalaya,OBC,2014-15,primary,girls,19.04
Meghalaya,Overall,2014-15,primary,girls,9.39
Mizoram,General,2014-15,primary,girls,0
Mizoram,SC,2014-15,primary,girls,0
Mizoram,ST,2014-15,primary,girls,13.52
Mizoram,OBC,2014-15,primary,girls,80.85
Mizoram,Overall,2014-15,primary,girls,13.38
Nagaland,General,2014-15,primary,girls,3.48
Nagaland,SC,2014-15,primary,girls,91.46
Nagaland,ST,2014-15,primary,girls,20.73
Nagaland,OBC,2014-15,primary,girls,0
Nagaland,Overall,2014-15,primary,girls,19.74
Odisha,General,2014-15,primary,girls,5
Odisha,SC,2014-15,primary,girls,2.47
Odisha,ST,2014-15,primary,girls,6.09
Odisha,OBC,2014-15,primary,girls,0
Odisha,Overall,2014-15,primary,girls,3.04
Puducherry,General,2014-15,primary,girls,0
Puducherry,SC,2014-15,primary,girls,1.5
Puducherry,ST,2014-15,primary,girls,0
Puducherry,OBC,2014-15,primary,girls,4.14
Puducherry,Overall,2014-15,primary,girls,0.56
Punjab,General,2014-15,primary,girls,2.72
Punjab,SC,2014-15,primary,girls,0.85
Punjab,ST,2014-15,primary,girls,73.65
Punjab,OBC,2014-15,primary,girls,0
Punjab,Overall,2014-15,primary,girls,1.21
Rajasthan,General,2014-15,primary,girls,8.33
Rajasthan,SC,2014-15,primary,girls,10.25
Rajasthan,ST,2014-15,primary,girls,10.8
Rajasthan,OBC,2014-15,primary,girls,8.35
Rajasthan,Overall,2014-15,primary,girls,9.11
Sikkim,General,2014-15,primary,girls,17.24
Sikkim,SC,2014-15,primary,girls,6.49
Sikkim,ST,2014-15,primary,girls,1.03
Sikkim,OBC,2014-15,primary,girls,0
Sikkim,Overall,2014-15,primary,girls,3.49
Tamilnadu,General,2014-15,primary,girls,5.95
Tamilnadu,SC,2014-15,primary,girls,0.29
Tamilnadu,ST,2014-15,primary,girls,3.84
Tamilnadu,OBC,2014-15,primary,girls,0.02
Tamilnadu,Overall,2014-15,primary,girls,0.39
Telangana,General,2014-15,primary,girls,0
Telangana,SC,2014-15,primary,girls,0
Telangana,ST,2014-15,primary,girls,0
Telangana,OBC,2014-15,primary,girls,0
Telangana,Overall,2014-15,primary,girls,0
Tripura,General,2014-15,primary,girls,4.65
Tripura,SC,2014-15,primary,girls,1.2
Tripura,ST,2014-15,primary,girls,5.1
Tripura,OBC,2014-15,primary,girls,0.44
Tripura,Overall,2014-15,primary,girls,3.52
Uttarakhand,General,2014-15,primary,girls,2.13
Uttarakhand,SC,2014-15,primary,girls,1.97
Uttarakhand,ST,2014-15,primary,girls,6.44
Uttarakhand,OBC,2014-15,primary,girls,4.25
Uttarakhand,Overall,2014-15,primary,girls,2.83
Uttar Pradesh,General,2014-15,primary,girls,9.52
Uttar Pradesh,SC,2014-15,primary,girls,3.69
Uttar Pradesh,ST,2014-15,primary,girls,5.01
Uttar Pradesh,OBC,2014-15,primary,girls,6.29
Uttar Pradesh,Overall,2014-15,primary,girls,6.22
West Bengal,General,2014-15,primary,girls,5.39
West Bengal,SC,2014-15,primary,girls,1.62
West Bengal,ST,2014-15,primary,girls,5.94
West Bengal,OBC,2014-15,primary,girls,0
West Bengal,Overall,2014-15,primary,girls,2.37
All India,Overall,2014-15,primary,girls,4.14
Andaman & Nicobar Islands,General,2015-16,primary,girls,4.35
Andaman & Nicobar Islands,SC,2015-16,primary,girls,0
Andaman & Nicobar Islands,ST,2015-16,primary,girls,0
Andaman & Nicobar Islands,OBC,2015-16,primary,girls,0
Andaman & Nicobar Islands,Overall,2015-16,primary,girls,0.55
Andhra Pradesh,General,2015-16,primary,girls,11.95
Andhra Pradesh,SC,2015-16,primary,girls,7.8
Andhra Pradesh,ST,2015-16,primary,girls,13.61
Andhra Pradesh,OBC,2015-16,primary,girls,2.92
Andhra Pradesh,Overall,2015-16,primary,girls,6.89
Arunachal Pradesh,General,2015-16,primary,girls,10.4
Arunachal Pradesh,SC,2015-16,primary,girls,0
Arunachal Pradesh,ST,2015-16,primary,girls,10.45
Arunachal Pradesh,OBC,2015-16,primary,girls,0
Arunachal Pradesh,Overall,2015-16,primary,girls,10.09
Assam,General,2015-16,primary,girls,16.01
Assam,SC,2015-16,primary,girls,13.2
Assam,ST,2015-16,primary,girls,16.57
Assam,OBC,2015-16,primary,girls,11.22
Assam,Overall,2015-16,primary,girls,14.65
Bihar,General,2015-16,primary,girls,0.62
Bihar,SC,2015-16,primary,girls,0
Bihar,ST,2015-16,primary,girls,2.6
Bihar,OBC,2015-16,primary,girls,0
Bihar,Overall,2015-16,primary,girls,0
Chandigarh,General,2015-16,primary,girls,0
Chandigarh,SC,2015-16,primary,girls,0
Chandigarh,ST,2015-16,primary,girls,8.45
Chandigarh,OBC,2015-16,primary,girls,0
Chandigarh,Overall,2015-16,primary,girls,0
Chhattisgarh,General,2015-16,primary,girls,0.24
Chhattisgarh,SC,2015-16,primary,girls,1.45
Chhattisgarh,ST,2015-16,primary,girls,5.54
Chhattisgarh,OBC,2015-16,primary,girls,1.48
Chhattisgarh,Overall,2015-16,primary,girls,2.75
Dadra & Nagar Haveli,General,2015-16,primary,girls,2.09
Dadra & Nagar Haveli,SC,2015-16,primary,girls,11.21
Dadra & Nagar Haveli,ST,2015-16,primary,girls,0.74
Dadra & Nagar Haveli,OBC,2015-16,primary,girls,0
Dadra & Nagar Haveli,Overall,2015-16,primary,girls,1.32
Daman & Diu,General,2015-16,primary,girls,0.67
Daman & Diu,SC,2015-16,primary,girls,0
Daman & Diu,ST,2015-16,primary,girls,0
Daman & Diu,OBC,2015-16,primary,girls,1.93
Daman & Diu,Overall,2015-16,primary,girls,0.29
Delhi,General,2015-16,primary,girls,0
Delhi,SC,2015-16,primary,girls,0
Delhi,ST,2015-16,primary,girls,0.43
Delhi,OBC,2015-16,primary,girls,2.38
Delhi,Overall,2015-16,primary,girls,0
Goa,General,2015-16,primary,girls,2.04
Goa,SC,2015-16,primary,girls,0
Goa,ST,2015-16,primary,girls,0
Goa,OBC,2015-16,primary,girls,0
Goa,Overall,2015-16,primary,girls,0.84
Gujarat,General,2015-16,primary,girls,0
Gujarat,SC,2015-16,primary,girls,2.67
Gujarat,ST,2015-16,primary,girls,2.65
Gujarat,OBC,2015-16,primary,girls,0.59
Gujarat,Overall,2015-16,primary,girls,0.98
Haryana,General,2015-16,primary,girls,2.35
Haryana,SC,2015-16,primary,girls,4.98
Haryana,ST,2015-16,primary,girls,0
Haryana,OBC,2015-16,primary,girls,9.99
Haryana,Overall,2015-16,primary,girls,5.69
Himachal Pradesh,General,2015-16,primary,girls,1.11
Himachal Pradesh,SC,2015-16,primary,girls,0.94
Himachal Pradesh,ST,2015-16,primary,girls,0.62
Himachal Pradesh,OBC,2015-16,primary,girls,0
Himachal Pradesh,Overall,2015-16,primary,girls,0.83
Jammu & Kashmir,General,2015-16,primary,girls,5.04
Jammu & Kashmir,SC,2015-16,primary,girls,4.62
Jammu & Kashmir,ST,2015-16,primary,girls,8.58
Jammu & Kashmir,OBC,2015-16,primary,girls,15.58
Jammu & Kashmir,Overall,2015-16,primary,girls,6.59
Jharkhand,General,2015-16,primary,girls,0.32
Jharkhand,SC,2015-16,primary,girls,6.88
Jharkhand,ST,2015-16,primary,girls,8.14
Jharkhand,OBC,2015-16,primary,girls,3.33
Jharkhand,Overall,2015-16,primary,girls,5.04
Karnataka,General,2015-16,primary,girls,32.99
Karnataka,SC,2015-16,primary,girls,1.02
